id,title,rating_num,votes_num,stars_list,directors_list,writers_list,star_fame,director_fame,writer_fame,combined_fame,star_profile_tier,director_profile_tier,writer_profile_tier,n_stars,n_directors,n_writers
tt5078134,A Woman's Life,6.4,1400.0,"['Judith Chemla', 'Jean-Pierre Darroussin', 'Yolande Moreau', 'Swann Arlaud', 'Nina Meurisse', 'Olivier Perrier', 'Clotilde Hesme', 'Alain Beigel', 'Finnegan Oldfield', 'Lucette Beudin']",['Stéphane Brizé'],"['Stéphane Brizé', 'Florence Vignon', 'Guy de Maupassant']",18.0,3.0,35.0,18.666666666666668,Low-profile,Low-profile,High-profile,10,1,3
tt0046283,A Lost Letter,8.3,372.0,"['Nicky Atanasiu', 'Alexandru Giugaru', 'Marcel Anghelescu', 'Costache Antoniu', 'Radu Beligan', 'Ion Fintesteanu', 'Grigore Vasiliu-Birlic', 'Ion Talianu', 'Ion Henter', 'Ion Iliescu']","['Sica Alexandrescu', 'Victor Iliu']",['Ion Luca Caragiale'],6.0,2.0,5.0,4.333333333333333,Low-profile,Low-profile,Low-profile,10,2,1
tt0077738,The School Teacher in the House,5.0,523.0,"['Edwige Fenech', 'Renzo Montagnani', 'Alvaro Vitali', 'Marco Gelardini', 'Carlo Sposito', 'Gisella Sofio', 'Clara Colosimo', 'Lucio Montanaro', 'Jacques Stany', 'Gianfranco Barra']",['Michele Massimo Tarantini'],"['Francesco Milizia', 'Michele Massimo Tarantini', 'Luciano Martino']",58.0,14.0,41.0,37.666666666666664,Low-profile,Low-profile,High-profile,10,1,3
tt0044480,Carbine Williams,6.9,2100.0,"['James Stewart', 'Jean Hagen', 'Wendell Corey', 'Carl Benton Reid', 'Paul Stewart', 'Otto Hulett', 'Rhys Williams', 'Herbert Heyes', 'James Arness', 'Porter Hall']",['Richard Thorpe'],['Art Cohn'],80.0,124.0,14.0,72.66666666666667,High-profile,High-profile,Low-profile,10,1,1
tt0266075,Memento Mori,6.3,3700.0,"['Kim Gyu-ri', 'Park Yejin', 'Lee Yeong-jin', 'Seung-Yeon Han', 'Kong Hyo-jin', 'Park Ji-yeon', 'Baek Jong-hak', 'Jae-in Kim', 'Hye-Ju Ku', 'Hye-mi Lee']","['Kyu-dong Min', 'Kim Tae-yong']","['Jung-Ok In', 'Kyu-dong Min', 'Kim Tae-yong']",5.0,1.0,2.0,2.6666666666666665,Low-profile,Low-profile,Low-profile,10,2,3
tt5117670,Peter Rabbit,6.6,50000.0,"['James Corden', 'Fayssal Bazzi', 'Domhnall Gleeson', 'Sia', 'Colin Moody', 'Sam Neill', 'Margot Robbie', 'Elizabeth Debicki', 'Daisy Ridley', 'Rose Byrne']",['Will Gluck'],"['Rob Lieber', 'Will Gluck', 'Beatrix Potter']",50.0,7.0,6.0,21.0,Low-profile,Low-profile,Low-profile,10,1,3
tt1620719,Dabangg,6.3,35000.0,"['Salman Khan', 'Sonakshi Sinha', 'Sonu Sood', 'Arbaaz Khan', 'Vinod Khanna', 'Dimple Kapadia', 'Om Puri', 'Anupam Kher', 'Mahie Gill', 'Tinnu Anand']",['Abhinav Kashyap'],"['Dilip Shukla', 'Abhinav Kashyap']",104.0,2.0,8.0,38.0,High-profile,Low-profile,Low-profile,10,1,2
tt0068200,The Amazing Mr. Blunden,6.8,1800.0,"['Laurence Naismith', 'Graham Crowden', 'Dorothy Alison', 'Benjamin Smith', 'Stuart Lock', 'Deddie Davies', 'David Lodge', 'Madeline Smith', 'James Villiers', 'Diana Dors']",['Lionel Jeffries'],"['Lionel Jeffries', 'Antonia Barber']",53.0,5.0,5.0,21.0,Low-profile,Low-profile,Low-profile,10,1,2
tt0328589,Under the Tuscan Sun,6.7,63000.0,"['Diane Lane', 'Raoul Bova', 'Sandra Oh', 'Lindsay Duncan', 'Vincent Riotta', 'Mario Monicelli', 'Roberto Nobile', 'Anita Zagaria', 'Evelina Gori', 'Giulia Louise Steigerwalt']",['Audrey Wells'],"['Frances Mayes', 'Audrey Wells']",47.0,2.0,10.0,19.666666666666668,Low-profile,Low-profile,Low-profile,10,1,2
tt10268488,The Greatest Beer Run Ever,6.8,33000.0,"['Zac Efron', 'Russell Crowe', 'Jake Picking', 'Kyle Allen', 'Archie Renaux', 'Will Ropp', 'Will Hochman', 'Matt Cook', 'Kevin Tran', 'Ruby Ashbourne Serkis']",['Peter Farrelly'],"['Peter Farrelly', 'Brian Hayes Currie', 'Pete Jones']",51.0,15.0,13.0,26.333333333333332,Low-profile,Low-profile,Low-profile,10,1,3
tt0111590,Vanya on 42nd Street,7.3,5400.0,"['Wallace Shawn', 'Phoebe Brand', 'George Gaynes', 'Jerry Mayer', 'Lynn Cohen', 'Julianne Moore', 'Larry Pine', 'Brooke Smith', 'Andre Gregory', 'Madhur Jaffrey']",['Louis Malle'],"['Anton Chekhov', 'David Mamet', 'Andre Gregory']",70.0,22.0,28.0,40.0,High-profile,Low-profile,High-profile,10,1,3
tt0083111,Southern Comfort,7.1,23000.0,"['Keith Carradine', 'Powers Boothe', 'Fred Ward', 'Franklyn Seales', 'T.K. Carter', 'Lewis Smith', 'Les Lannom', 'Peter Coyote', 'Alan Autry', 'Brion James']",['Walter Hill'],"['Michael Kane', 'Walter Hill', 'David Giler']",46.0,20.0,18.0,28.0,Low-profile,Low-profile,Low-profile,10,1,3
