year,month,star_count,runtime,averageRating
2014,8,10,1.0,5.8
1986,3,10,1.0,4.6
2019,4,10,1.0,7.3
1927,8,10,1.0,6.1
2017,9,10,1.0,7.0
1974,11,10,2.0,5.9
2021,5,10,1.0,6.7
2011,12,10,1.0,6.3
1930,11,9,55.0,7.0
2022,1,10,2.0,7.5
2016,6,10,1.0,5.9
2022,11,10,1.0,3.7
1954,6,10,1.0,5.9
2021,12,10,2.0,5.9
1973,11,10,2.0,7.2
1948,6,10,1.0,5.6
1961,10,10,1.0,6.3
2024,10,10,1.0,4.6
2005,11,10,1.0,5.7
2012,2,10,1.0,7.7
2003,1,10,1.0,1.9
2016,11,10,1.0,7.6
2013,4,10,1.0,5.6
1992,11,10,1.0,6.8
1957,8,10,2.0,6.2
1931,7,10,1.0,5.5
1955,12,10,1.0,6.2
1939,11,10,1.0,6.1
2024,10,10,1.0,6.5
1964,8,10,1.0,6.2
1948,3,10,1.0,6.3
1972,5,10,1.0,4.0
2002,10,10,1.0,6.8
1970,8,10,1.0,5.4
1931,5,10,1.0,6.8
1945,1,8,2.0,7.7
1964,3,10,1.0,4.7
1952,10,10,1.0,8.2
1967,1,10,1.0,7.0
2024,3,10,2.0,7.6
1932,1,10,1.0,7.6
2019,8,10,1.0,5.3
2016,11,10,1.0,5.6
1932,4,10,1.0,6.4
1955,4,10,1.0,5.0
1986,8,10,1.0,5.7
1939,1,10,1.0,6.5
1921,9,10,1.0,6.8
1927,7,10,1.0,6.5
2010,9,10,1.0,6.1
1994,7,10,1.0,4.6
1992,12,10,1.0,7.0
1925,8,7,1.0,6.8
1997,8,10,1.0,4.8
1942,12,10,1.0,7.2
1944,10,10,1.0,5.6
1962,2,10,1.0,2.7
1924,6,7,1.0,5.6
1953,11,10,1.0,6.3
1962,9,10,1.0,6.2
1969,7,10,1.0,6.1
2005,3,10,1.0,5.6
1964,6,10,1.0,6.6
1956,2,10,2.0,6.5
1976,5,10,1.0,5.6
1982,5,10,1.0,5.8
2003,10,10,1.0,6.4
1995,11,10,1.0,6.7
2014,6,10,2.0,6.2
1972,2,10,1.0,7.7
1924,10,10,1.0,6.6
1989,5,10,2.0,7.7
1932,6,10,1.0,6.0
1929,9,10,1.0,5.4
1920,3,10,45.0,6.3
1926,1,10,1.0,3.3
1956,5,10,1.0,6.6
1981,10,10,1.0,6.2
1950,5,10,1.0,6.0
1986,5,10,1.0,7.6
1980,6,10,1.0,4.7
1960,1,5,2.0,6.6
1958,2,10,1.0,5.9
2003,2,10,1.0,5.1
1992,8,10,1.0,4.9
2012,2,10,1.0,6.3
2017,8,10,2.0,7.1
1965,3,10,1.0,7.2
1990,11,10,1.0,4.8
1930,5,3,1.0,7.2
